,mp_id,formula
207,mp-29798,TlBrO3
208,mp-27249,CuCO3
209,mp-547864,CdCO3
210,mp-1179357,SnCCl3
211,mp-1218370,SrCO3
212,mp-1016853,CaVO3
213,mp-1068389,SnCCl3
214,mp-1068985,SnCCl3
215,mp-1096983,H3CI
216,mp-654812,CdCO3
217,mp-1001571,CaFeO3
218,mp-1016884,CaGeO3
219,mp-1099873,CaCuO3
220,mp-1183538,CaTmO3
221,mp-1183540,CaZnO3
222,mp-1183543,CaInO3
223,mp-1183570,CaHgO3
224,mp-546910,CaSnO3
225,mp-7986,CaSnO3
226,mp-998432,CaTcO3
227,mp-1016835,CaRuO3
228,mp-1017467,CaMnO3
229,mp-1097061,CaTlF3
230,mp-998150,CaTlF3
231,mvc-14243,CaCoO3
232,mp-1016873,CaHfO3
233,mp-1183539,CaHoO3
234,mp-1183562,CaLaO3
235,mp-1207169,CaH3Pd
236,mp-5827,CaTiO3
237,mp-1016833,CaRhO3
238,mp-1099934,CaCoO3
239,mp-1183544,CaYO3
240,mp-1207078,CaNiH3
241,mp-542112,CaZrO3
242,mp-998151,CaTlCl3
243,mp-1016854,MnCdO3
244,mp-1016879,CdSiO3
245,mp-10175,KCdF3
246,mp-1183925,CsCdO3
247,mp-1184992,KCdO3
248,mp-1185203,LiCdO3
249,mp-568544,CsCdCl3
250,mp-975380,RbCdO3
251,mp-976293,NaCdO3
252,mp-998623,TlCdF3
253,mp-1016845,ZrCdO3
254,mp-1016846,TiCdO3
255,mp-1016849,CdRuO3
256,mp-1016875,CdRhO3
257,mp-1016881,CdSnO3
258,mp-1016903,CdGeO3
259,mp-1016904,VCdO3
260,mp-1017446,HfCdO3
261,mp-1207995,TlCdN3
262,mp-1209203,RbCdN3
263,mp-22345,TiCdO3
264,mp-8399,CsCdF3
265,mp-973869,LaCdO3
266,mp-1211584,KCdN3
267,mp-22593,CeVO3
268,mp-6951,RbCdF3
269,mp-754524,CeTiO3
270,mp-973613,LiCeO3
271,mp-22540,CeGaO3
272,mp-33365,CeGaO3
273,mp-977389,CeCuO3
274,mp-1023129,KCuCl3
275,mp-1183706,CeMnO3
276,mp-1228834,CsHgCl3
277,mp-20530,CeCrO3
278,mp-570591,CsHgCl3
279,mp-864636,CeFeO3
280,mp-866095,CeNiO3
281,mp-998147,TlCuCl3
282,mp-1068377,CsEuCl3
283,mp-1070375,CsSnCl3
284,mp-1147710,CsPdCl3
285,mp-1206801,RbEuCl3
286,mp-23037,CsPbCl3
287,mp-570290,MnTlCl3
288,mp-675022,CsPbCl3
289,mp-998156,RbSnCl3
290,mp-998231,KGeCl3
291,mp-998605,RbPbCl3
292,mp-998744,TlGeCl3
293,mp-1070599,CsYbCl3
294,mp-1080231,CsTlCl3
295,mp-1209191,RbPbCl3
296,mp-567939,CsSmCl3
297,mp-579768,CsTmCl3
298,mp-675460,LiTiCl3
299,mp-998173,RbPdCl3
300,mp-998195,RbInCl3
301,mp-998230,LiSnCl3
302,mp-998233,InGeCl3
303,mp-998535,InPbCl3
304,mp-998560,InSnCl3
305,mp-998732,TlInCl3
306,mp-1206518,RbFeCl3
307,mp-22988,CsGeCl3
308,mp-998420,KCrCl3
309,mp-1183692,CoSnO3
310,mp-1183715,CoRhO3
