mp_id,formula,XYZ
mp-4079,Sc3AlC,ABC3
mp-557680,NbAgO3,ABC3
mp-574239,Tm3AlC,ABC3
mp-756458,ErAlO3,ABC3
mp-768539,AlTlO3,ABC3
mp-772898,AlGaO3,ABC3
mp-7964,YAlO3,ABC3
mp-8110,AlBO3,ABC3
mp-862787,AlInSe3,ABC3
mp-975427,RbAlO3,ABC3
mvc-11224,AlVO3,ABC3
mvc-14411,AlSbO3,ABC3
mvc-14600,AlSbO3,ABC3
mvc-15992,MnAlO3,ABC3
mvc-3876,AlSnO3,ABC3
mp-10036,Ce3AlC,ABC3
mp-10037,AlCo3C,ABC3
mp-10039,Pr3AlC,ABC3
mp-10674,Sm3AlN,ABC3
mp-1069273,Gd3AlN,ABC3
mp-1069603,LaAl3Au,ABC3
mp-1070573,LaAl3Cu,ABC3
mp-1079110,Hf3AlN,ABC3
mp-1079781,LiCaAl3,ABC3
mp-1183159,AlAuO3,ABC3
mp-1183160,AlInO3,ABC3
mp-1185485,LuAlO3,ABC3
mp-1186097,NaAlO3,ABC3
mp-1202918,AlBr3N,ABC3
mp-1206996,La3AlO,ABC3
mp-1207055,Mn3AlN,ABC3
mp-1248478,AlCoO3,ABC3
mp-29676,Dy3AlC,ABC3
mp-29677,Ho3AlC,ABC3
mp-4054,YAl3Ni,ABC3
mp-4448,Y3AlC,ABC3
mp-4505,La3AlN,ABC3
mp-5323,CeAlO3,ABC3
mp-568021,Er3AlC,ABC3
mp-696871,LaAlO3,ABC3
mp-755358,LuAlO3,ABC3
mp-775763,AlBiO3,ABC3
mp-780411,LaAlO3,ABC3
mvc-10882,AlMoO3,ABC3
mvc-13532,AlCoO3,ABC3
mvc-13972,AlBiO3,ABC3
mvc-14277,AlNiO3,ABC3
mvc-15871,AlCoO3,ABC3
mp-10041,Tb3AlC,ABC3
mp-1017557,Dy3AlN,ABC3
mp-1097006,KAlH3,ABC3
mp-1178547,AlRhO3,ABC3
mp-1178550,AlInO3,ABC3
mp-1178574,AlPdO3,ABC3
mp-1183132,AlSiO3,ABC3
mp-1183154,AlPbO3,ABC3
mp-1189272,CsAlTe3,ABC3
mp-1207084,AlNi3C,ABC3
mp-1208898,SmAl3Ni,ABC3
mp-1251690,AlCrO3,ABC3
mp-1253258,AlCuO3,ABC3
mp-1254277,AlFeO3,ABC3
mp-1258775,MnAlO3,ABC3
mp-21910,Nd3AlN,ABC3
mp-31220,AlSiTe3,ABC3
mp-3408,CeAlO3,ABC3
mp-4434,TbAlO3,ABC3
mp-4593,Mn3AlC,ABC3
mp-5304,LaAlO3,ABC3
mp-754157,AlInO3,ABC3
mp-756850,LuAlO3,ABC3
mp-759116,YbAlO3,ABC3
mp-771698,LaAlO3,ABC3
mp-774520,TiAlO3,ABC3
mp-776154,AlFeO3,ABC3
mp-776167,CeAlO3,ABC3
mp-776216,AlCoO3,ABC3
mp-972066,ZrAlO3,ABC3
mp-973892,EuAlO3,ABC3
mvc-11155,AlNiO3,ABC3
mvc-11225,AlFeO3,ABC3
mvc-11226,AlCoO3,ABC3
