material_id,pretty_formula,formula_anonymous
mp-1206372,LaMg2Ag,ABC2
mp-1206436,SmAgGe,ABC
mp-1206696,Er2AgSb3,AB2C3
mp-1206850,Dy(SiAg)2,AB2C2
mp-1207136,RbAgC2,ABC2
mp-1207311,Nd2AgSb3,AB2C3
mp-1207314,Ho2AgSb3,AB2C3
mp-1207387,Zr2Ag3F14,A2B3C14
mp-1208370,TbAgS2,ABC2
mp-1208999,ScAgSn,ABC
mp-1209345,Pr5AgSn3,AB3C5
mp-1209825,NdMgAg,ABC
mp-1211042,LiSiAg2,ABC2
mp-1212683,EuMgAg,ABC
mp-1214902,Ag3SbTe4,AB3C4
mp-1214922,AgPtF6,ABC6
mp-1214924,AgSbO12,ABC12
mp-1215073,Ag12SI,ABC12
mp-1215496,ZnCdAg2,ABC2
mp-1217695,Tb2Mg5Ag,AB2C5
mp-1217699,Tb2InAg,ABC2
mp-1220427,Nb6AgSe8,AB6C8
mp-1222291,LiSiAg2,ABC2
mp-1222568,Li3Ag3Sn2,A2B3C3
mp-1223006,LaAl2Ag3,AB2C3
mp-1223267,La2(MgAg3)3,A2B3C9
mp-1223835,InAgS2,ABC2
mp-1223840,HoAgTe2,ABC2
mp-1223918,Ho2InAg,ABC2
mp-1224790,GaAgTe2,ABC2
mp-1224997,FeAgTe2,ABC2
mp-1225214,EuAl3Ag2,AB2C3
mp-1225262,DyAgSn2,ABC2
mp-1225429,Eu2Al3Ag,AB2C3
mp-1225505,Er2InAg,ABC2
mp-1225506,ErAgSn2,ABC2
mp-1227020,CaZnAg,ABC
mp-1227171,CeAgPb,ABC
mp-1227262,Ce2InAg,ABC2
mp-1227320,Ca2GaAg,ABC2
mp-12277,CaAgP,ABC
mp-1228614,Ba2Ag8S7,A2B7C8
mp-1229003,AgSbTe2,ABC2
mp-1229010,AgSbS2,ABC2
mp-1229031,AgPd2Au,ABC2
mp-1229161,Ag6P6O19,A6B6C19
mp-1229205,Ag(OsO3)2,AB2C6
mp-1232268,Cr2AgS4,AB2C4
mp-12360,AgSbTe2,ABC2
mp-1237898,Nb3AgTe4,AB3C4
mp-1239177,Cr2AgS4,AB2C4
mp-1239228,AlAgO2,ABC2
mp-1245572,Cr2AgN3,AB2C3
mp-1246949,CaAgN,ABC
mp-1247313,Zn4AgN3,AB3C4
mp-1247866,Ag2B8O13,A2B8C13
mp-1247876,AgSbTe2,ABC2
mp-12902,ErAgTe2,ABC2
mp-12903,YAgTe2,ABC2
mp-13166,YbAgO2,ABC2
mp-13265,ErAgSn,ABC
mp-13956,Ag2PSe3,AB2C3
mp-14092,AlAgTe2,ABC2
mp-14206,K3Ag3As2,A2B3C3
mp-14653,AgSb2F12,AB2C12
mp-16241,YbSiAg,ABC
mp-19225,FeAgO2,ABC2
mp-19318,Ag2MoO4,AB2C4
mp-20162,InAgS2,ABC2
mp-20384,CeAgAs2,ABC2
mp-20880,NdAgPb,ABC
mp-21045,DyAgGe,ABC
mp-22653,Eu(SiAg)2,AB2C2
mp-22993,AgClO4,ABC4
mp-22995,Ag3SI,ABC3
mp-23485,Ag2HgI4,AB2C4
mp-23496,CsAg2I3,AB2C3
mp-23548,AgBiO3,ABC3
mp-27168,Cr2Ag2O7,A2B2C7
mp-27286,Ba(Ag3O2)2,AB4C6
mp-28043,Tl3AgI5,AB3C5
mp-28375,Ta2AgF12,AB2C12
mp-28729,Ag25(BiO6)3,A3B18C25
mp-28965,AgBi2F12,AB2C12
mp-29672,AgC4N3,AB3C4
mp-29693,Rb2AgCl3,AB2C3
mp-29717,Ag(W3Br7)2,AB6C14
mp-30273,AcClO,ABC
mp-30274,AcBrO,ABC
mp-30342,HoInAg2,ABC2
mp-30344,Li2InAg,ABC2
mp-30908,Ag3PSe4,AB3C4
mp-31175,CeMg2Ag,ABC2
mp-31239,Mn3(AgO2)4,A3B4C8
mp-31420,CeAgSn,ABC
mp-31495,AgTe2Au,ABC2
mp-34371,AgSbS2,ABC2
mp-34418,AgPF6,ABC6
mp-34787,Ag7NO11,AB7C11
mp-35109,Ag(Mo3S4)2,AB6C8
mp-3532,CrAgSe2,ABC2
mp-35906,Y(AgCl2)3,AB3C6
mp-36526,AcOF,ABC
mp-36600,Ag3SBr,ABC3
