mp_id,formula,anonymous_formulas,C3
mp-776216,AlCoO3,ABC3,O3
mp-972066,ZrAlO3,ABC3,O3
mp-973892,EuAlO3,ABC3,O3
mvc-11155,AlNiO3,ABC3,O3
mvc-11225,AlFeO3,ABC3,O3
mvc-11226,AlCoO3,ABC3,O3
mvc-13533,AlFeO3,ABC3,O3
mvc-13964,TiAlO3,ABC3,O3
mvc-14043,AlNiO3,ABC3,O3
mvc-15476,AlBiO3,ABC3,O3
mvc-15901,MnAlO3,ABC3,O3
mvc-16001,AlWO3,ABC3,O3
mvc-3494,AlBiO3,ABC3,O3
mp-1183283,BaAlO3,ABC3,O3
mp-1188667,YbAlO3,ABC3,O3
mp-1248327,TiAlO3,ABC3,O3
mp-14254,NdAlO3,ABC3,O3
mp-19843,CeAlO3,ABC3,O3
mp-21455,EuAlO3,ABC3,O3
mp-4471,ScAlO3,ABC3,O3
mp-4891,HoAlO3,ABC3,O3
mp-5899,NdAlO3,ABC3,O3
mp-7405,SmAlO3,ABC3,O3
mp-755574,LuAlO3,ABC3,O3
mp-765647,AlVO3,ABC3,O3
mp-772187,AlGaO3,ABC3,O3
mp-8218,PrAlO3,ABC3,O3
mp-972367,UAlO3,ABC3,O3
mp-978862,SrAlO3,ABC3,O3
mvc-11052,AlSnO3,ABC3,O3
mvc-11693,TiAlO3,ABC3,O3
mvc-15239,AlCuO3,ABC3,O3
mvc-15604,AlCrO3,ABC3,O3
mvc-15605,AlWO3,ABC3,O3
mvc-15905,AlMoO3,ABC3,O3
mvc-3776,AlNiO3,ABC3,O3
mp-1101265,TmAlO3,ABC3,O3
mp-1178268,GdAlO3,ABC3,O3
mp-1183133,AlIrO3,ABC3,O3
mp-1183134,AlSbO3,ABC3,O3
mp-1184936,KAlO3,ABC3,O3
mp-1186110,NpAlO3,ABC3,O3
mp-21216,AlFeO3,ABC3,O3
mp-4096,CeAlO3,ABC3,O3
mp-551918,AlBiO3,ABC3,O3
mp-756281,TmAlO3,ABC3,O3
mp-756630,DyAlO3,ABC3,O3
mp-756705,YAlO3,ABC3,O3
mp-758371,YbAlO3,ABC3,O3
mp-768518,LaAlO3,ABC3,O3
mp-774250,MnAlO3,ABC3,O3
mp-780421,LaAlO3,ABC3,O3
mvc-13996,AlCrO3,ABC3,O3
mvc-15781,AlCuO3,ABC3,O3
mvc-15937,AlSnO3,ABC3,O3
mvc-3466,TiAlO3,ABC3,O3
mvc-3774,AlCoO3,ABC3,O3
mvc-3810,AlSbO3,ABC3,O3
mp-1178577,AlFeO3,ABC3,O3
mp-1183128,AlVO3,ABC3,O3
mp-1185313,LiAlO3,ABC3,O3
mp-1185841,MgAlO3,ABC3,O3
mp-1248370,AlMoO3,ABC3,O3
mp-1259818,AlFeO3,ABC3,O3
mp-1260288,MnAlO3,ABC3,O3
mp-1261047,AlSbO3,ABC3,O3
mp-3466,PrAlO3,ABC3,O3
mp-3792,YAlO3,ABC3,O3
mp-5223,GdAlO3,ABC3,O3
mp-754936,DyAlO3,ABC3,O3
mp-756686,AlGaO3,ABC3,O3
mp-756947,AlCoO3,ABC3,O3
mp-768417,LaAlO3,ABC3,O3
mp-771703,LaAlO3,ABC3,O3
mp-776116,AlPdO3,ABC3,O3
mp-776172,AlCuO3,ABC3,O3
mp-780422,LaAlO3,ABC3,O3
mp-984723,DyAlO3,ABC3,O3
mvc-13997,AlVO3,ABC3,O3
mvc-14409,AlCrO3,ABC3,O3
mvc-15603,MnAlO3,ABC3,O3
mvc-15945,AlCuO3,ABC3,O3
mvc-4004,AlWO3,ABC3,O3
mp-1080060,LaAlO3,ABC3,O3
mp-1184150,ErAlO3,ABC3,O3
mp-1251647,AlWO3,ABC3,O3
mp-754184,ErAlO3,ABC3,O3
mp-754435,LuAlO3,ABC3,O3
mp-756082,AlVO3,ABC3,O3
mp-756214,YAlO3,ABC3,O3
mvc-14006,AlMoO3,ABC3,O3
mvc-3506,AlSbO3,ABC3,O3
mvc-3826,AlBiO3,ABC3,O3
mp-1178368,CuAsO3,ABC3,O3
mp-1178465,CsAsO3,ABC3,O3
mp-1183911,CsAsO3,ABC3,O3
mp-1184937,KAsO3,ABC3,O3
mp-1192552,KAsO3,ABC3,O3
mp-1194970,KAsO3,ABC3,O3
mp-28109,SbAsO3,ABC3,O3
mp-753953,GdAsO3,ABC3,O3
mp-976133,NaAsO3,ABC3,O3
mp-976763,NiAsO3,ABC3,O3
mp-983564,EuAsO3,ABC3,O3
mp-1079050,LaAsO3,ABC3,O3
mp-1184913,InAsO3,ABC3,O3
mp-1195015,CeAsO3,ABC3,O3
mp-17868,NaAsO3,ABC3,O3
mp-30284,HgAsO3,ABC3,O3
mp-559767,LiAsO3,ABC3,O3
mp-755240,AsAuO3,ABC3,O3
mp-776093,CsAsO3,ABC3,O3
mp-9657,LiAsO3,ABC3,O3
