mp_id,formula,Piezoelectric_Modulus
mp-1009084,BeSnAs2,0.46825
mp-1009088,BeGeAs2,0.10722
mp-1016197,MgSiAs2,0.14469
mp-1078724,LiAsSe2,1.465844053
mp-1228745,AsRhS,0.10663
mp-1228810,AsIrSe,0.11778
mp-14367,AsPO5,0.08661
mp-16363,CoAsS,0.12321
mp-18361,K7NbAs4,0.243042255
mp-18594,K3AsSe3,0.023263333
mp-27810,Ba(GeAs)2,0.078197301
mp-30300,Cs3As5O9,0.334231712
mp-3078,CdSiAs2,0.18113
mp-3481,KSnAs,0.426877947
mp-3595,ZnSiAs2,0.18673
mp-36577,Sr(AsS2)2,3.175637019
mp-3996,GaAsO4,0.646596832
mp-4008,ZnGeAs2,0.21275
mp-623837,As(CN)3,0.427019632
mp-756044,Na3AsO4,0.987478802
mp-7684,Tl3AsSe3,0.97392975
mp-867203,Sr2CdAs2,0.568030383
mp-9197,Li3AsO4,1.136009713
mp-961684,LiCaAs,0.682684821
mp-1095180,Ca2CdAs2,0.874908719
mp-1228823,AsIrS,0.11016
mp-14368,SbAsO5,0.08264
mp-1541585,Mn2As2O7,0.620404494
mp-18440,Rb7NbAs4,0.156948014
mp-28471,Li3AsS3,0.324586328
mp-4627,CoAsS,0.189825316
mp-555874,LiAsS2,0.587938155
mp-5707,CsAsF4,0.20108533
mp-5830,Na3AsS3,0.13672
mp-676464,Cd3AsI3,0.248423515
mp-754840,TaAsO4,2.002565389
mp-770219,NbAsO4,2.543535175
mp-8686,Na3AsSe3,0.081566667
mp-961685,NaCaAs,0.007329833
mp-9775,NaSrAs,0.210799138
mp-9791,Tl3AsS3,0.792178664
mp-1009087,BeSiAs2,0.131505
mp-1079666,Ba2CdAs2,0.582351563
mp-1193111,K3AsS3,0.04751
mp-1214087,Ca3AsI3,0.0
mp-1228724,AsRhSe,0.1142
mp-13305,SmSnAu,0.44718
mp-14001,Ba4SiAs4,0.08735
mp-14659,KAsSe2,0.665263316
mp-15573,Tl3AsO4,1.050721201
mp-15687,KZnAs,0.280092082
mp-2894,ScSnAu,0.34495
mp-29643,CuAsSe2,1.404329102
mp-3277,BAsO4,0.627677754
mp-541032,Te7As5I,0.70428437
mp-756401,TaAsO4,1.24985812
mp-758196,Mg3(AsO4)2,0.28134791
mp-9124,LiZnAs,0.7323
mp-1190030,La3Sb4Au3,0.31933
mp-28719,Ba(AuF4)2,0.304393464
mp-29196,AuCN,0.864184627
mp-30390,HoSnAu,0.286091927
mp-984350,Dy3Sb4Au3,0.79917
mp-1104686,Cs4Au6S5,0.236418918
mp-1207095,SiPAu,0.395149802
mp-13654,Y3Sb4Au3,0.876959944
mp-30159,AuBrF6,0.075750044
mp-996959,LiAuO2,0.066344835
mp-1191586,Zn(BH4)2,0.26224
mp-1219553,RbBH4,0.05996
mp-13308,HoGeAu,0.5782
mp-19343,Co4B6O13,0.13932
mp-568556,Mg2B24C,0.700417551
mp-753056,HoBO3,1.717010675
mp-760457,YBO3,1.711325877
mp-961693,ZrInAu,0.290390237
mp-1019509,B2S2O9,0.237062597
mp-1019560,Ca2B2O5,0.16603
mp-1019743,Ga3BN4,0.11691
mp-11000,CaB4O7,1.670003161
mp-11653,BPO4,0.153004208
mp-12403,LiBF4,0.08890335
mp-13335,Cd(BO2)2,0.769631307
mp-28582,CsB3H8,0.0
mp-5540,SrB4O7,1.007429864
mp-561055,RbB3O5,0.09927
mp-569450,LiB6C,0.331729934
mp-676049,KBF4,0.391044044
mp-752484,YbB4O7,1.884002289
mp-760405,ErBO3,1.761231741
mp-760477,SmBO3,1.432561864
mp-1007823,GaBN2,0.739661977
mp-14232,LiBO2,1.11153
mp-23349,Bi(BO2)3,1.162282514
mp-29756,RbB3O5,0.34343
mp-30126,Ba(BS2)2,0.349414068
mp-35082,BH6N,0.420578756
mp-4779,Li2B4O7,0.788522918
mp-4812,Zn4B6O13,0.15839
mp-540900,B2PdO4,0.142845
mp-558521,B2Se2O7,0.09605
mp-753318,DyBO3,1.664888587
mp-759069,B(HO)3,0.029201385
mp-760484,TmBO3,1.969403157
mp-9747,B4PbO7,1.533211453
mp-1008523,BC2N,0.65775
mp-12954,CuBS2,0.0619
mp-13252,SnB4O7,1.36381
mp-25296,MnBO3,0.405698919
mp-30148,BC2N,0.81214
mp-3589,BPO4,0.399440006
mp-571156,Mg(BH4)2,0.060750886
mp-638070,LiB13C2,0.160890992
mp-644223,LiBH4,0.10228537
mp-675418,BH6N,1.425811097
mp-675926,LiBH4,0.0
mp-754594,VBO4,0.101891552
mp-755260,Cd4B6O13,0.0691
mp-1019740,GaB3N4,0.78069
mp-12022,HgB4O7,2.095161105
mp-13863,BaGeO3,0.17409
mp-27724,BPS4,0.02046
mp-29060,Ba5(SiN3)2,0.49657
mp-30905,Ba3(BN2)2,0.26225
mp-34034,Ba8P5Br,0.371692637
mp-4236,BaZnO2,0.987933097
mp-4674,BNF8,0.32619
mp-560641,Ba12Cl5F19,0.184445269
mp-567771,Ba(Si3N4)2,67.67410697
mp-5777,BaTiO3,4.162563266
mp-675324,BaCO3,1.6529
mp-762225,BaCO3,0.297546731
mp-972448,SmBS3,0.36927
mp-1029679,BaGe7N10,1.550821427
mp-1228030,Ba4Bi2O,0.812326641
mp-18929,BaV2O6,0.21175
mp-19086,BaCoO2,1.504327973
mp-20546,Ba2In2O5,0.67630633
mp-27457,Ba(PO3)2,0.12338
mp-27897,Ba(NO2)2,0.04749
mp-28512,Ba(ClO3)2,0.3171675
mp-28514,Ba(BrO3)2,0.48822
mp-29909,Ba4I6O,0.171190986
mp-33985,Ba(InTe2)2,0.122145
mp-38117,Ba(GaTe2)2,0.10887
mp-3881,BaZnF4,1.51717
mp-4309,BaGa4S7,0.58824851
mp-541629,BaGaF5,0.16514
mp-555321,BaNiF4,1.69027
mp-752397,Ba2SrI6,0.0
mp-756018,BaMgO2,0.853074919
mp-756084,BaNa4O3,0.715520468
mp-760418,Ba2SrI6,0.799157922
mp-777233,BaYF5,2.491738794
mp-9732,BaNaP,0.029733841
mp-1009828,BaSiC,0.455782301
mp-10615,BaLiP,0.547548142
mp-1540000,BaGaH5,0.244182464
mp-23904,BaH4O3,0.269504832
mp-29289,BaPt2S3,0.008445
mp-34459,Ba(NdS2)2,0.48474
mp-5020,BaTiO3,4.540352945
mp-754920,BaYF5,2.91440675
mp-756090,BaNa4O3,16.77554582
mp-766325,BaCaI4,0.240371169
mp-779511,Ba2MgO3,0.0
mp-9711,Ba2Si5N8,0.294525903
mp-14568,BaMgF4,1.86949
mp-17885,Ba2Ge2Te5,0.280354144
mp-19154,Ba(FeO2)2,0.827115551
mp-19241,BaNiO3,17.82595859
mp-23063,Ba4Cl6O,0.234891394
mp-29703,BaSi7N10,0.420517495
mp-33606,Ba(PrSe2)2,0.363675
mp-3848,BaGe4O9,0.187705916
mp-555218,Ba4Br6O,0.219580845
mp-556850,BaMnF4,1.45183
mp-5986,BaTiO3,3.578256033
mp-643683,Ba5(Ga3H)2,0.01966927
mp-676002,Ba2PrF7,2.996870516
mp-752395,Ba2Na2O3,0.078365
mp-753775,BaCaI4,0.143494866
mp-1009085,BeSiP2,0.141305
mp-1019550,BeGeN2,1.240779263
mp-15703,BeCN2,0.461515
mp-19267,BaMnO3,1.080231832
mp-27192,CsBe2F5,1.4100000000000001e-22
mp-27608,Be4TeO7,0.06303
mp-27791,SrBe3O4,0.498312271
mp-27809,Ba(GeP)2,0.18104439
mp-28007,BaHgS2,0.461898616
mp-31235,BaNaBi,0.126692322
mp-36007,Ba(NdSe2)2,0.38346
mp-4559,BaCO3,0.619635861
mp-5185,K2BeF4,0.0
mp-550433,BeZnO2,0.48725
mp-625837,Be(HO)2,0.04599
mp-626720,BaH4O3,0.364267234
mp-657176,YbBeF4,0.643051455
mp-696736,RbBe2F5,0.172584648
mp-697853,Ba3WO6,1.016538482
mp-753460,BaCa2I6,0.933952957
mp-755391,BaNa2O2,0.583862338
mp-756202,Ba2SrI6,0.0
mp-7913,BeSiN2,0.398786689
mp-9575,LiBeSb,0.772463049
mp-1013527,BeGeP2,0.1178
mp-1103228,BiIrSe,0.15768
mp-1189451,BeCN2,0.493098497
mp-1227372,BiTeIr,0.10234
mp-15704,BeSiN2,0.14142
mp-23329,Bi2WO6,5.697979375
mp-28944,BiTeCl,0.265361897
mp-28980,K3BiSe3,0.07601
mp-29168,Rb3BiSe3,0.0643
mp-29505,Cs3BiO3,0.12774
mp-30459,ScNiBi,0.015866667
mp-31451,ZrCoBi,0.68528
mp-35687,Be(CN)2,0.036315136
mp-35795,BiPbF5,3.488803017
mp-5046,BeSO4,0.190933847
mp-555769,ScBiO3,0.0
mp-624483,YbBeF4,0.0
mp-625823,Be(HO)2,0.27114
mp-697136,Be(HO)2,0.52054
mp-754739,CaBe3O4,0.362929626
mp-863076,NbBiO4,2.422482153
mp-22949,FeBiO3,3.625148308
mp-22965,BiTeI,0.376339893
mp-23427,Ti3(BiO3)4,6.080634777
mp-23446,GeBi2O5,3.868479151
mp-23492,Si(Bi3O5)4,1.148796158
mp-23494,Ti(Bi3O5)4,0.984251321
mp-29379,K3BiTe3,0.04164
mp-30452,DyNiBi,0.198603333
mp-30460,YNiBi,0.307813333
mp-38487,Li7BiO6,0.353833867
mp-754009,ScBiO3,4.859032686
mp-754943,ErBiO3,4.997849436
mp-755568,GaBiO3,4.230458203
mp-1101765,BiRhSe,0.17413
mp-29365,Li5BiO5,1.400739816
mp-555313,ScBiO3,19.05054876
mp-557724,KBiF6,0.0
mp-570213,LiMgBi,0.02757
mp-675634,KBi2F7,14.0170135
mp-755478,CdBiO3,1.19678081
mp-768221,YBiO3,4.8307273
mp-768310,LaBiO3,4.442634181
mp-1008858,NdBiPd,0.437876667
mp-1029517,Li7BiN4,0.15341
mp-23339,NaBrO3,0.0055
mp-23352,Ge(Bi3O5)4,0.980357216
mp-23501,FeBiO3,4.372091392
mp-29526,BrNO3,0.35005
mp-29927,Pb7(BrF6)2,14.4418873
mp-33723,BiTeBr,0.384553656
mp-510347,In5S5Br,0.439861279
mp-546027,CrBiO3,3.25025151
mp-558645,PBr3O,0.0
mp-568269,TmNiBi,0.288043333
mp-606680,CsLi2Br3,0.0
mp-625583,H7BrO3,0.865478823
mp-675475,Li2MnBr4,4.260459777
mp-675531,NaBiS2,10.67852159
mp-754323,TmBiO3,5.428583803
mp-998412,KGeBr3,1.338562335
mp-1212660,GaCuBr4,0.2763
mp-1215629,Zn3PBr3,0.673499624
mp-22958,KBrO3,0.748250286
